epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1371.96,1.40951,0.85725,0.92683,0.55541,0.52742,0.53115,0.28971,1.32042,0.80671,0.92139,0.000990365,0.000990365,0.000990365
43,1402.74,1.36802,0.82591,0.92595,0.57511,0.52586,0.54194,0.29578,1.31252,0.77729,0.91326,0.000973861,0.000973861,0.000973861
44,1434.95,1.37463,0.81967,0.92132,0.56358,0.52675,0.52647,0.29308,1.31944,0.82167,0.91983,0.000957358,0.000957358,0.000957358
45,1466.12,1.3869,0.83987,0.92054,0.55247,0.51326,0.52821,0.28617,1.33037,0.81312,0.92099,0.000940855,0.000940855,0.000940855
46,1498.77,1.37981,0.84758,0.92072,0.56503,0.53797,0.54697,0.30031,1.30534,0.7769,0.91732,0.000924352,0.000924352,0.000924352
47,1531.29,1.37351,0.82822,0.91658,0.57411,0.52198,0.54396,0.30148,1.31183,0.77403,0.91735,0.000907848,0.000907848,0.000907848
48,1562.83,1.36937,0.83041,0.91941,0.56633,0.51933,0.54558,0.28888,1.3404,0.77726,0.90818,0.000891345,0.000891345,0.000891345
49,1593.4,1.38263,0.84781,0.91714,0.5643,0.5113,0.52896,0.28692,1.33193,0.81604,0.92325,0.000874842,0.000874842,0.000874842
50,1627.45,1.37561,0.82474,0.92085,0.56104,0.51746,0.53535,0.29465,1.30579,0.7789,0.91339,0.000858338,0.000858338,0.000858338
51,1656.62,1.35364,0.80599,0.91565,0.57054,0.51694,0.52798,0.29969,1.29292,0.77606,0.91419,0.000841835,0.000841835,0.000841835
52,1689.76,1.37783,0.82867,0.91519,0.56846,0.50798,0.52815,0.2927,1.31988,0.79253,0.92197,0.000825332,0.000825332,0.000825332
53,1722.13,1.34774,0.80114,0.9146,0.60074,0.50809,0.54078,0.30257,1.29821,0.76397,0.91205,0.000808828,0.000808828,0.000808828
54,1753.66,1.36234,0.80953,0.91258,0.58396,0.52273,0.55187,0.30813,1.29257,0.75538,0.91189,0.000792325,0.000792325,0.000792325
55,1785.02,1.3536,0.80972,0.91233,0.58097,0.55349,0.57115,0.31669,1.27895,0.74112,0.90554,0.000775822,0.000775822,0.000775822
56,1818.22,1.34326,0.79892,0.90877,0.59965,0.52394,0.55595,0.30481,1.30292,0.75568,0.91231,0.000759318,0.000759318,0.000759318
57,1849.62,1.32356,0.78873,0.91182,0.60185,0.53747,0.56447,0.31293,1.28412,0.74411,0.90382,0.000742815,0.000742815,0.000742815
58,1879.94,1.34744,0.80409,0.91358,0.57744,0.52556,0.54925,0.3084,1.28154,0.76043,0.90654,0.000726312,0.000726312,0.000726312
59,1912.88,1.31565,0.78084,0.90632,0.58894,0.54058,0.5631,0.31098,1.29336,0.75646,0.91483,0.000709809,0.000709809,0.000709809
60,1944.38,1.33664,0.79326,0.90602,0.54951,0.54176,0.55064,0.30365,1.29831,0.763,0.90992,0.000693305,0.000693305,0.000693305
61,1975.36,1.31881,0.77655,0.90607,0.6135,0.49119,0.5349,0.30453,1.27536,0.76812,0.90839,0.000676802,0.000676802,0.000676802
62,2009.08,1.32254,0.78401,0.90851,0.60169,0.5118,0.55144,0.30812,1.28176,0.75349,0.90411,0.000660299,0.000660299,0.000660299
63,2039.16,1.34295,0.79676,0.91049,0.59735,0.53107,0.56332,0.31507,1.27516,0.7465,0.90781,0.000643795,0.000643795,0.000643795
64,2071.1,1.32114,0.7686,0.90323,0.58097,0.54316,0.56514,0.31889,1.27079,0.73156,0.90331,0.000627292,0.000627292,0.000627292
65,2101.46,1.30276,0.76201,0.90673,0.58247,0.5481,0.57251,0.31619,1.27094,0.73961,0.9061,0.000610789,0.000610789,0.000610789
66,2133.8,1.29263,0.7548,0.90464,0.58552,0.54397,0.56935,0.31197,1.28357,0.74432,0.90749,0.000594286,0.000594286,0.000594286
67,2166.14,1.33618,0.79056,0.90413,0.60042,0.53508,0.57019,0.32033,1.25715,0.72492,0.90337,0.000577782,0.000577782,0.000577782
68,2196.69,1.31283,0.76709,0.90125,0.59077,0.51181,0.53985,0.30943,1.27506,0.75588,0.9081,0.000561279,0.000561279,0.000561279
69,2228.56,1.29446,0.75923,0.89631,0.6016,0.52981,0.56088,0.3195,1.24935,0.74062,0.89987,0.000544776,0.000544776,0.000544776
70,2258.73,1.33848,0.7836,0.90407,0.5919,0.53287,0.559,0.31395,1.26979,0.7479,0.90611,0.000528272,0.000528272,0.000528272
71,2293.09,1.32381,0.78069,0.90458,0.57629,0.53531,0.55443,0.31454,1.25882,0.7367,0.90184,0.000511769,0.000511769,0.000511769
72,2323.41,1.31863,0.77021,0.90531,0.594,0.54818,0.57752,0.31824,1.26541,0.72721,0.9022,0.000495266,0.000495266,0.000495266
73,2356.07,1.30757,0.76278,0.89631,0.61891,0.54389,0.58539,0.32897,1.2529,0.71109,0.90138,0.000478762,0.000478762,0.000478762
74,2389.89,1.30744,0.75724,0.90173,0.59225,0.55297,0.57581,0.32211,1.26051,0.71975,0.9058,0.000462259,0.000462259,0.000462259
75,2420.18,1.28299,0.75188,0.90368,0.59317,0.54363,0.57102,0.32206,1.25187,0.71724,0.90173,0.000445756,0.000445756,0.000445756
76,2453.7,1.27084,0.74118,0.89996,0.60838,0.52879,0.56553,0.31751,1.27142,0.73221,0.90782,0.000429253,0.000429253,0.000429253
77,2484.49,1.28569,0.74677,0.89892,0.59978,0.53622,0.56942,0.31891,1.26447,0.72722,0.90514,0.000412749,0.000412749,0.000412749
78,2517.53,1.2789,0.74308,0.89335,0.61114,0.54992,0.5857,0.32616,1.25385,0.70912,0.90035,0.000396246,0.000396246,0.000396246
79,2549.75,1.29434,0.74184,0.89701,0.6095,0.55141,0.58503,0.32756,1.25563,0.70342,0.90136,0.000379743,0.000379743,0.000379743
80,2582.01,1.28946,0.75527,0.89666,0.60545,0.54227,0.57563,0.32356,1.25504,0.71503,0.90067,0.000363239,0.000363239,0.000363239
81,2614.5,1.25053,0.7173,0.8952,0.61109,0.54993,0.58767,0.32927,1.25294,0.70426,0.90056,0.000346736,0.000346736,0.000346736
82,2645.19,1.28254,0.73936,0.89328,0.62301,0.54657,0.58844,0.33117,1.24633,0.70507,0.90106,0.000330233,0.000330233,0.000330233
83,2677.85,1.28084,0.7368,0.89484,0.61168,0.55565,0.59067,0.33462,1.24168,0.69861,0.89811,0.000313729,0.000313729,0.000313729
84,2710.05,1.25201,0.72225,0.89376,0.60008,0.55332,0.58489,0.32932,1.23911,0.70267,0.89741,0.000297226,0.000297226,0.000297226
85,2742.42,1.25585,0.7283,0.89456,0.6216,0.52957,0.57919,0.32936,1.23723,0.70738,0.89895,0.000280723,0.000280723,0.000280723
86,2775.04,1.25258,0.72493,0.89056,0.62356,0.5301,0.57968,0.32705,1.24459,0.716,0.89976,0.00026422,0.00026422,0.00026422
87,2806.63,1.22752,0.70825,0.88814,0.6216,0.54532,0.58736,0.33073,1.23805,0.70357,0.89747,0.000247716,0.000247716,0.000247716
88,2838.64,1.25948,0.72092,0.88539,0.61611,0.53523,0.58228,0.32902,1.23422,0.69767,0.89749,0.000231213,0.000231213,0.000231213
89,2870.52,1.24538,0.71426,0.89456,0.62117,0.53254,0.57828,0.32728,1.23869,0.70711,0.89894,0.00021471,0.00021471,0.00021471
90,2902.03,1.225,0.7012,0.89142,0.6042,0.54279,0.57513,0.32671,1.24261,0.71034,0.90093,0.000198206,0.000198206,0.000198206
91,2944.99,1.20286,0.70172,0.88537,0.59985,0.52676,0.55804,0.31758,1.24847,0.72171,0.90376,0.000181703,0.000181703,0.000181703
92,2976.91,1.19005,0.68603,0.88722,0.61366,0.54664,0.58159,0.32795,1.24285,0.70129,0.89925,0.0001652,0.0001652,0.0001652
93,3009.35,1.18174,0.67331,0.87872,0.62056,0.53968,0.58051,0.3302,1.23625,0.6918,0.8997,0.000148696,0.000148696,0.000148696
94,3040.48,1.18126,0.67072,0.87997,0.61729,0.53835,0.58348,0.32532,1.24632,0.70116,0.89943,0.000132193,0.000132193,0.000132193
95,3071.44,1.17713,0.66109,0.87196,0.62815,0.53368,0.58312,0.32968,1.23614,0.69118,0.89989,0.00011569,0.00011569,0.00011569
96,3103.84,1.18085,0.66277,0.88724,0.61629,0.54225,0.57853,0.32897,1.24113,0.70242,0.90209,9.91865e-05,9.91865e-05,9.91865e-05
97,3135.15,1.18331,0.6588,0.88089,0.62547,0.54049,0.5802,0.32992,1.23308,0.69426,0.89964,8.26832e-05,8.26832e-05,8.26832e-05
98,3168.36,1.17544,0.65573,0.87458,0.63026,0.53796,0.58509,0.33018,1.23877,0.69096,0.90016,6.61799e-05,6.61799e-05,6.61799e-05
99,3199.02,1.1608,0.6585,0.87541,0.62666,0.54107,0.58408,0.33015,1.23709,0.69136,0.8997,4.96766e-05,4.96766e-05,4.96766e-05
100,3229.65,1.16328,0.65074,0.86879,0.62977,0.54016,0.58236,0.33105,1.23265,0.69049,0.89905,3.31733e-05,3.31733e-05,3.31733e-05
